"Entry","Expt","MacroEnv","DTF","Predicted_DTF"
73,"Ne16","Macroenvironment 2",116.333333333333,91.9178388231271
73,"It16","Macroenvironment 3",128,129.437529141084
74,"Su16","Macroenvironment 1",46.3333333333333,44.0891231824574
74,"Ne16","Macroenvironment 2",102,86.1869900629495
74,"It16","Macroenvironment 3",120.666666666667,121.446951449152
75,"Su16","Macroenvironment 1",47.3333333333333,45.7957008337651
75,"Ne16","Macroenvironment 2",121.666666666667,95.5702141831125
75,"It16","Macroenvironment 3",123.666666666667,124.247710103555
76,"Su16","Macroenvironment 1",48.6666666666667,48.5751934157616
76,"Ne16","Macroenvironment 2",118.333333333333,95.4889140207671
76,"It16","Macroenvironment 3",134.666666666667,135.616150016586
77,"Su16","Macroenvironment 1",47.3333333333333,46.6746264396707
77,"Ne16","Macroenvironment 2",85,64.2128343397397
77,"It16","Macroenvironment 3",111.666666666667,108.069276525399
78,"Su16","Macroenvironment 1",49,47.3003340439919
78,"Ne16","Macroenvironment 2",126.333333333333,100.56357947157
78,"It16","Macroenvironment 3",133.666666666667,135.773804191923
79,"Su16","Macroenvironment 1",49.3333333333333,49.5994330673168
79,"Ne16","Macroenvironment 2",119.666666666667,92.167587886439
79,"It16","Macroenvironment 3",134.333333333333,136.481881603382
80,"Su16","Macroenvironment 1",52,49.8128407982509
80,"Ne16","Macroenvironment 2",123.5,96.9022718666089
80,"It16","Macroenvironment 3",133.333333333333,133.946108160922
81,"Su16","Macroenvironment 1",44.3333333333333,42.7431349353446
81,"Ne16","Macroenvironment 2",102.333333333333,77.834009906915
81,"It16","Macroenvironment 3",116.333333333333,113.878805453771
82,"Su16","Macroenvironment 1",45,42.4090485801415
82,"Ne16","Macroenvironment 2",102,76.5560020697948
82,"It16","Macroenvironment 3",116.333333333333,114.804382295312
83,"Su16","Macroenvironment 1",54,51.938528425621
83,"Ne16","Macroenvironment 2",123.333333333333,97.2243122726883
83,"It16","Macroenvironment 3",137.333333333333,147.085030794411
84,"Su16","Macroenvironment 1",47.6666666666667,45.9214064875224
84,"Ne16","Macroenvironment 2",118,93.7640419990463
84,"It16","Macroenvironment 3",127.666666666667,130.513143965593
85,"Su16","Macroenvironment 1",55.6666666666667,53.6463061746008
85,"Ne16","Macroenvironment 2",125,97.7312098475156
85,"It16","Macroenvironment 3",152,153.342863350539
86,"Su16","Macroenvironment 1",52.3333333333333,50.7493639180898
86,"Ne16","Macroenvironment 2",112.5,92.7089782493768
86,"It16","Macroenvironment 3",141.333333333333,148.07638325303
87,"Su16","Macroenvironment 1",55.3333333333333,53.3922033901934
87,"Ne16","Macroenvironment 2",134.666666666667,102.875443812183
87,"It16","Macroenvironment 3",146.333333333333,144.795230019778
88,"Su16","Macroenvironment 1",49,47.0288196038204
88,"Ne16","Macroenvironment 2",120,96.003083915976
88,"It16","Macroenvironment 3",125.666666666667,126.139650476691
89,"Su16","Macroenvironment 1",47.6666666666667,46.3464759473717
89,"Ne16","Macroenvironment 2",127.333333333333,94.8488225133225
89,"It16","Macroenvironment 3",120.666666666667,123.978121152034
90,"Su16","Macroenvironment 1",54.3333333333333,52.3730220317103
90,"Ne16","Macroenvironment 2",122.666666666667,93.2721025820228
90,"It16","Macroenvironment 3",138.333333333333,147.390008854141
91,"Su16","Macroenvironment 1",47.3333333333333,46.8106831704731
91,"Ne16","Macroenvironment 2",122.333333333333,88.1421550936691
91,"It16","Macroenvironment 3",129.666666666667,131.531528227435
92,"Su16","Macroenvironment 1",43.6666666666667,43.8258686439252
92,"Ne16","Macroenvironment 2",97,71.0952632969591
92,"It16","Macroenvironment 3",123.666666666667,131.512402294706
93,"Su16","Macroenvironment 1",48,45.7114008698272
93,"Ne16","Macroenvironment 2",126,93.8737112621858
93,"It16","Macroenvironment 3",125.333333333333,126.879058739675
94,"Su16","Macroenvironment 1",44.3333333333333,42.3977383979923
94,"Ne16","Macroenvironment 2",58.6666666666667,43.9726817766694
94,"It16","Macroenvironment 3",99,97.6375415903572
95,"Su16","Macroenvironment 1",45,43.3971416064251
95,"Ne16","Macroenvironment 2",96.3333333333333,74.9709927222684
95,"It16","Macroenvironment 3",113.666666666667,111.123263447952
